Instância || p || Melhor FO || FO Media || Desvio || Tempo Medio(seg.) || Melhor Tempo(seg.)
inst5.txt || 3 || 24574.90 || 24574.90 || 0.00 || 1.000333 || 1.000000
inst10.txt || 2 || 49107.75 || 49107.75 || 0.00 || 1.000000 || 1.000000
inst10.txt || 3 || 49107.75 || 49107.75 || 0.00 || 1.000333 || 1.000000
inst20.txt || 2 || 54490.78 || 54490.78 || 0.00 || 1.001667 || 1.001000
inst20.txt || 3 || 56078.32 || 56078.32 || 0.00 || 1.000667 || 1.000000
inst20.txt || 5 || 45954.15 || 45954.15 || 0.00 || 1.002667 || 1.000000
inst25.txt || 2 || 51270.82 || 51270.82 || -0.00 || 1.003333 || 1.002000
inst25.txt || 4 || 64349.30 || 64349.30 || 0.00 || 1.003333 || 1.000000
inst25.txt || 5 || 58383.90 || 58786.02 || 0.69 || 1.007667 || 1.004000
inst40.txt || 2 || 68080.33 || 68080.33 || 0.00 || 1.006000 || 1.003000
inst40.txt || 5 || 72514.58 || 72514.58 || 0.00 || 1.003000 || 1.001000
inst40.txt || 10 || 55192.93 || 55192.93 || 0.00 || 1.006333 || 1.003000
inst50.txt || 2 || 65821.63 || 65821.63 || 0.00 || 1.011000 || 1.005000
inst50.txt || 3 || 80040.34 || 80040.34 || 0.00 || 1.006000 || 1.004000
inst50.txt || 5 || 70967.22 || 70967.22 || 0.00 || 1.007667 || 1.004000
inst50.txt || 10 || 57470.68 || 59410.51 || 3.38 || 1.010000 || 1.001000
inst100.txt || 4 || 71994.64 || 71994.64 || 0.00 || 3.026333 || 3.018000
inst100.txt || 10 || 81624.75 || 81624.75 || 0.00 || 3.052000 || 3.039000
inst100.txt || 20 || 57235.66 || 57235.66 || 0.00 || 3.074333 || 3.034000
inst100.txt || 40 || 51860.03 || 51860.03 || 0.00 || 3.176000 || 3.078000
inst200.txt || 3 || 56945.93 || 56945.93 || 0.00 || 3.265667 || 3.252000
inst200.txt || 5 || 89474.03 || 89474.03 || 0.00 || 3.251667 || 3.165000
inst200.txt || 10 || 81897.82 || 81897.82 || 0.00 || 3.337333 || 3.318000
inst200.txt || 30 || 72799.58 || 77765.06 || 6.82 || 5.632333 || 4.324000
inst200.txt || 50 || 55958.75 || 56287.81 || 0.59 || 5.058333 || 3.047000
Media || || 61727.86 || 62033.32 || 0.46 || 1.957760 || 1.812120
