n: 5      p: 3
FO:      24574.90
HUBS [4,0,2]
OR  H1  H2  DS  CUSTO
0   0   0   0   0.00
0   0   0   0   10453.90
0   0   0   0   15795.60
0   0   0   0   21337.11
0   0   0   0   24574.90
0   0   0   0   10453.90
0   0   0   0   0.00
0   0   0   0   5594.83
0   0   0   0   10896.79
0   0   0   0   14133.56
0   0   0   0   15795.60
0   0   0   0   5594.83
0   0   0   0   0.00
0   0   0   0   5799.17
0   0   0   0   9372.51
0   0   0   0   21337.11
0   0   0   0   10896.79
0   0   0   0   5799.17
0   0   0   0   0.00
0   0   0   0   3649.98
0   0   0   0   24574.90
0   0   0   0   14133.56
0   0   0   0   9372.51
0   0   0   0   3649.98
0   0   0   0   0.00
